school,program,deadline,link,city,priority,note
西安交通大学,化学学院,2026/06/18 23:59,https://mp.weixin.qq.com/s/hjhUzEDXhEjIpDT7olpiyA?scene=1&click_id=15,西安,中,
西安交通大学,电气工程学院,2026/06/18 23:59,https://ee.xjtu.edu.cn/info/1383/15546.htm,西安,强,
西安交通大学,人居环境与建筑工程学院,2026/06/20 23:59,https://hsce.xjtu.edu.cn/info/1014/14294.htm,西安,中,
西安交通大学,新能源科学与技术工程学院,2026/06/20 23:59,https://mfpe.xjtu.edu.cn/info/1076/7260.htm,西安,强,
西安交通大学,航天航空学院,2026/06/20 23:59,https://sae.xjtu.edu.cn/info/1093/9673.htm,西安,中,
西安交通大学,机械工程学院,2026/06/22 18:00,https://mec.xjtu.edu.cn/info/1057/12176.htm,西安,中,
西安交通大学,化学工程与技术学院,2026/06/22 23:59,https://clet.xjtu.edu.cn/info/1151/8681.htm,西安,中,
西安交通大学,国家储能平台,2026/06/26 23:59,https://gjcnpt.xjtu.edu.cn/info/1058/2252.htm,西安,强,
西安交通大学,未来技术学院,2026/07/05 23:59,https://wljsxy.xjtu.edu.cn/info/1019/3081.htm,西安,弱,
北京航空航天大学,航空发动机研究院,2026/06/24 16:00,https://riae.buaa.edu.cn/info/1109/6360.htm,北京,强,
北京航空航天大学,宇航学院,2026/06/25 12:00,http://www.sa.buaa.edu.cn/info/1026/12039.htm,北京,中,
哈尔滨工业大学,环境学院,2026/06/29 23:59,https://env.hit.edu.cn/2026/0609/c8344a393830/page.htm,,中,
哈尔滨工业大学,（深圳）低空科学技术研究院,2026/06/30 17:00,http://last.hitsz.edu.cn/info/1017/1291.htm,深圳,中,
哈尔滨工业大学,能源科学与工程学院,2026/06/30 23:59,https://power.hit.edu.cn/2026/0616/c5714a394190/page.htm,,强,
北京理工大学,能源与环境政策研究中心,2026/06/25 23:59,https://mp.weixin.qq.com/s/z1qbWT3JjNIatfrNyOp8lA?scene=1&click_id=327151653,,强,
北京理工大学,先进结构技术研究院,2026/06/30 12:00,https://xjjg.bit.edu.cn/tzgg/b2e43191245347c3b98da1300e0c1beb.htm,,中,
四川大学,机械工程学院,2026/06/25 09:00,https://msec.scu.edu.cn/info/1091/7043.htm,成都,中,
四川大学,空天科学与工程学院,2026/06/25 23:59,https://saa.scu.edu.cn/info.htm?id=661743141584861&c=781494316834704,成都,中,
四川大学,原子核科学技术研究所,2026/06/29 23:59,https://720inst.scu.edu.cn/Article/recruit_info?cid=28261495&id=42&mid=38,成都,强,
同济大学,汽车与能源学院,2026/06/25 15:00,https://auto.tongji.edu.cn/info/1013/11832.htm,上海,强,
同济大学,中意工程创新学院,2026/06/28 22:00,https://mp.weixin.qq.com/s/jEIFJXn3gLQ1InL3WYEyXQ,上海,中,
北京师范大学,未来技术学院,2026/06/18 23:59,https://mp.weixin.qq.com/s/Z3xWjSoJxMWKqreMmPv-BQ,北京,弱,
天津大学,宣怀学院,N/A,https://mp.weixin.qq.com/s/ZWyylBLqg6QEP6ypwhSfCw,天津,弱,
山东大学,“智慧能源与可持续未来”国际暑期学校,2026/06/26 23:59,https://mp.weixin.qq.com/s/qw9MCxXP3BUEn3fdexraLA,济南,强,
山东大学,前沿交叉科学青岛研究院,2026/06/28 23:59,https://frontier.qd.sdu.edu.cn/info/1011/9425.htm,济南,弱,
山东大学,机械工程学院,2026/06/28 23:59,https://mech.sdu.edu.cn/info/1097/138719.htm,济南,中,
山东大学,环境科学与工程学院,2026/07/02 23:59,https://sduyjs.sdu.edu.cn/yjszs/plugins/zs/xlyxsd/entrance#/xlyksdSummerCampEntranceDetail?a=1781254447547001632&b=1778631988865001632,济南,中,
吉林大学,新能源与环境学院,2026/06/16 23:59,https://cer.jlu.edu.cn/info/1060/9896.htm,长春,强,
吉林大学,汽车工程学院,2026/06/21 23:59,https://auto.jlu.edu.cn/info/1256/8644.htm,长春,中,
吉林大学,机械与航空航天学院,2026/06/23 20:00,https://mae.jlu.edu.cn/info/1010/25322.htm,长春,中,
电子科技大学,资源与环境学院,2026/08/30 23:59,https://www.sre.uestc.edu.cn/info/1063/10590.htm,,中,
兰州大学,核科学与技术学院,2026/07/01 23:59,https://mp.weixin.qq.com/s/UNCbPnoLX26tvIXmzPZpBg?search_click_id=13671129774120310459-1781002437752-1016034849&scene=1&click_id=1811548266,,强,
中国科学院,合肥物质科学研究院,2026/05/25 23:59,https://hf.cas.cn/sbpy/yjsc/zs/zs_zsxc/zsxc_dxsxly/202605/t20260512_8200079.html,合肥,中,
中国科学院,工程科学学院,2026/06/12 23:59,https://eng.ucas.ac.cn/index.php/zh-CN/xjgl-2/2839-2026-17,北京,中,
中国科学院,上海硅酸盐研究所,2026/06/15 23:59,https://mp.weixin.qq.com/s/U1BXOagIzoMhAUw1ziAvjg,上海,中,
中国科学院,青岛生物能源与过程研究所,2026/06/15 23:59,https://mp.weixin.qq.com/s/J3k4tTxDH5zxYRNYUHj3sQ,青岛,强,
中国科学院,大连化学物理研究所,2026/06/18 23:59,https://mp.weixin.qq.com/s/Kh-PqMxA1TfGAOiJx_1ySQ?scene=1&click_id=2,大连,中,
中国科学院,上海高等研究院,2026/06/20 23:59,https://mp.weixin.qq.com/s/ptJjgtzc6FbmSViDG3qdAQ,上海,中,
中国科学院,宁波材料技术与工程研究所,2026/06/20 23:59,https://ncmte.nimte.ac.cn/view-33404.html,浙江,中,
中国科学院,化学与化工学院,2026/06/21 23:59,https://mp.weixin.qq.com/s/Qnb5WLSmmYWKiVhf6Pd7Wg?scene=1&click_id=1,北京,中,
中国科学院,理化所,2026/06/21 23:59,https://mp.weixin.qq.com/s/JqkIH5l8UszJFopiCABFlw?scene=1&click_id=6,北京,中,
中国科学院,赣江创新研究院,2026/06/21 23:59,http://www.gia.cas.cn/rcjy/sszs/202605/t20260513_8200450.html,赣州,中,
中国科学院,深海科学与工程研究所,2026/06/25 23:59,https://mp.weixin.qq.com/s/XcGpcYMevr989magHzqMYA,海南,弱,
中国科学院,电工研究所,2026/06/25 23:59,https://iee.cas.cn/yjsjy/zsgg/202605/t20260511_8199119.html,北京,强,
中国科学院,纳米技术与纳米仿生学院（苏州纳米所）,2026/06/26 23:59,https://sinano.cas.cn/news/zsxx/202605/t20260528_8210283.html,苏州,中,
中国科学院,工程热物理研究所,2026/06/30 23:59,https://mp.weixin.qq.com/s/1-_sZ0DAkaAEvnb_7x275g,北京,强,
中国科学院,环境材料与污染控制技术研究中心,2026/06/30 23:59,https://emct.ucas.ac.cn/index.php/zh/tzgg/419-2026-6-xly,北京,中,
中国科学院,中丹学院,2026/06/07 23:59,https://mp.weixin.qq.com/s/U7VMQ383zvJdQuIoJR79Ng?scene=1&click_id=20,北京,弱,
中国科学院,北京纳米能源与系统研究所,2026/07/01 23:59,https://binn.cas.cn/yjsjy/ssbszs/sszs/202605/t20260512_8199916.html,北京,强,
中国科学院,北京纳米能源所,2026/07/10 23:59,http://www.binn.cas.cn/tzgg/tzgg/202604/t20260427_8191768.html,北京,强,
中国科学院,深圳先进技术研究院碳中和研究所,2026/07/10 23:59,https://mp.weixin.qq.com/s/qVOqqPGYoxY3gSkIk3WcIw?scene=1&click_id=21,深圳,强,
中国科学院,中国航天科工二院,2026/07/03 23:59,https://mp.weixin.qq.com/s/Z9tTsXKyrgYL6wjrhB1zug,北京,中,
中国科学院大学,环境材料中心,2026/06/30 23:59,https://mp.weixin.qq.com/s/gYnycLg8RtGsxFC0kBgmaA,,中,
西湖大学,工学院,2026/06/26 23:59,https://engineering.westlake.edu.cn/Admission/GraduateProgram/zszx_2623/202605/t20260528_67384.shtml,杭州,中,
南方科技大学,力学与航空航天工程系,2026/06/15 23:59,https://mp.weixin.qq.com/s/0wRCQPYQSBbJcvhgvIa05A,深圳,中,
南方科技大学,机械与能源工程系,2026/06/22 23:59,https://mp.weixin.qq.com/s/di9-6ZA0RGIFjd7s9LwQgg?click_id=1,深圳,强,
南京航空航天大学,能源与动力学院,2026/07/03 23:59,https://mp.weixin.qq.com/s/unwNtkD6pXgs2GtdVW5xdg,,强,
西南交通大学,机械工程学院,2026/06/28 23:59,https://sme.swjtu.edu.cn/info/1098/65151.htm,,中,
火箭军工程大学,火箭军工程大学,2026/07/02 23:59,https://mp.weixin.qq.com/s/7R-RUgCgW7qzT2GxgKwulA?scene=1,西安,中,
中国工程物理研究院,中国工程物理研究院,2026/06/12 23:59,https://mp.weixin.qq.com/s/x_T2iMKy_aLL1USVNCzdgw?scene=1&click_id=4,,强,
中国工程物理研究院,研究生院,2026/06/14 23:59,https://mp.weixin.qq.com/s/7ptF8OidyRNXUC60UM8iVw,,强,
崂山国家实验室,崂山国家实验室,2026/06/30 23:59,https://mp.weixin.qq.com/s/9I0AicOVabOnN2IDHZkHDA,青岛,弱,
香港科技大学,工学院,N/A,https://mp.weixin.qq.com/s/DYEPVt6ZzuqzRhCourKwiw,,中,
香港中文大学（深圳）,SSE理工学院,2026/07/19 23:59,https://mp.weixin.qq.com/s/6zKI6_iVAMKcCbBy6p0ohA?scene=1&click_id=1847911889,深圳,中,
中核工业集团,中国原子能科学研究院核物理研究所,2026/06/10 23:59,https://mp.weixin.qq.com/s/tdDUbRy4RHQ9_9liFm316A,,强,
南京师范大学,能源科学与工程学院,2026/06/28 23:59,https://mp.weixin.qq.com/s/w2o1GWwU8AO25dF1ue4IoQ?scene=1&click_id=377071564,,强,
南京师范大学,环境学院,2026/06/30 23:59,http://env.njnu.edu.cn/info/1047/15773.htm,,中,
国家纳米科学中心,国家纳米科学中心,2026/06/15 23:59,http://edu.nanoctr.cas.cn/zs/zsxx/xlyzs/202605/t20260512_837470.html,北京,中,
国科大杭州高等研究院,环境学院,2026/06/20 23:59,https://mp.weixin.qq.com/s/kedqCrO3xAZtO-1nXWx51g,,中,
怀柔国家实验室,怀柔国家实验室,2026/06/22 23:59,https://mp.weixin.qq.com/s/NJD3FAkQtRTDJ8CS__heMQ?scene=1&click_id=1,,弱,
